login_attempts,login_success,login_failed,cmd_count,cmd_failed,downloads,duration_ms,label
2.4105256,1.232429,1.4460201,1.1848218,0.006917296,0.02840862,13606.807,1
2.111168,1.2153363,1.1599804,1.2212225,0.004033371,0.045395166,12939.701,1
2.1866808,1.197953,1.2568476,1.2700163,0.009159772,0.035395738,15853.7295,1
2.478785,1.1583447,1.2593552,1.3866779,0.008404459,0.08168633,14282.521,1
2.1819446,1.1761343,1.1796987,1.2260221,0.0076590516,0.036489744,9540.7705,1
2.35325,1.1880283,1.367467,1.2772728,-0.019050114,0.0701229,7832.055,1
2.1357863,1.2366675,1.2169855,1.368628,-0.0009518564,0.04636015,13622.924,1
2.1907296,1.193315,1.2842238,1.2571894,0.013396941,0.033002082,11047.002,1
2.1968138,1.2654366,1.2616673,1.189246,0.009219333,0.03721529,7146.3276,1
2.2783554,1.2513362,1.3715687,1.2079285,-0.004659556,0.028500613,9115.762,1
2.1494334,1.2628455,1.2275587,1.3721933,-0.007703943,0.053367864,15061.625,1
2.2181056,1.2793956,1.3842454,1.1570425,-0.011442564,0.03581731,12489.458,1
2.3105202,1.1988078,1.3392506,1.1782148,-0.005056761,0.03519719,10119.595,1
2.2997391,1.2890452,1.1834064,1.3822572,-0.0011017863,0.051219486,12670.523,1
2.2988584,1.153673,1.3623616,1.29625,-0.023201548,0.033043135,12274.862,1
2.283063,1.2297621,1.3927553,1.2959627,-0.018759802,0.021763591,20385.455,1
2.199226,1.29629,1.4751911,1.132634,-0.014988724,0.037605435,14267.87,1
2.2801118,1.2002841,1.2977531,1.3046681,-0.010078916,0.045192033,13623.18,1
2.26097,1.2233216,1.2000812,1.2762047,-0.0022310782,0.026088428,10034.664,1
2.062584,1.4173986,1.3689508,1.3751295,-0.023567874,0.06381861,18901.645,1
2.246911,1.228576,1.3280628,1.2016383,-0.005333651,0.039629973,7539.709,1
2.315874,1.1444958,1.3053048,1.1970446,0.021383243,0.011308903,13825.211,1
2.2067456,1.1944604,1.2659497,1.236321,0.0028400961,0.0369639,13490.355,1
2.3333247,1.308599,1.3260152,1.3130388,-0.010577649,0.05276049,11011.411,1
2.2122147,1.1749654,1.274914,1.2994179,-0.0046672374,0.04126992,11015.964,1
2.3533196,1.0758773,1.2161382,1.2681462,-0.0017224867,0.03871538,11825.797,1
2.119259,1.1538374,1.1945846,1.2276914,0.014257951,0.028537696,8430.979,1
2.256072,1.0277352,1.23582,1.1925721,-0.009064287,0.02885892,14366.505,1
2.242225,1.3240294,1.2911232,1.4086853,-0.026555661,0.058154814,15788.69,1
2.148418,1.2543614,1.3245691,1.2797222,-0.008216655,0.037740033,19304.52,1
2.235885,1.0827137,1.1855764,1.2599018,0.013275347,0.030348739,11910.424,1
2.1691024,1.137777,1.199426,1.2207409,-0.0027623158,0.042848974,11459.715,1
2.1851451,1.1069446,1.2232183,1.1673703,0.0040625716,0.030470744,13054.61,1
2.3261378,1.2245892,1.2885896,1.3107041,-0.008514937,0.032914784,11802.287,1
2.422563,1.121561,1.3833083,1.1818999,-0.030727517,0.037294514,9998.842,1
2.31006,1.1803155,1.2657633,1.2241222,-0.01110086,0.042064648,10907.081,1
2.2668023,1.1327991,1.2082286,1.407809,-0.02368471,0.06341216,18508.535,1
2.1476827,1.2194768,1.1816744,1.2947899,0.0070718387,0.035195366,12309.953,1
2.2652228,1.1784887,1.144523,1.2608081,0.017029116,0.025490081,11311.351,1
2.2008765,1.2619126,1.306269,1.1495857,-0.0033159126,0.050572194,14197.186,1
2.106695,1.3293178,1.2634354,1.3233522,-0.008184716,0.038960006,15562.549,1
2.2837622,1.2624245,1.3976237,1.27685,-0.024959117,0.04653401,11601.62,1
2.2521207,1.2532282,1.2086105,1.3282647,-0.0019119903,0.03631066,13922.291,1
2.16416,1.2009848,1.1545616,1.2508162,0.017224658,0.02818485,10741.979,1
2.352597,1.1220592,1.2692791,1.21379,0.0015281467,0.06206574,8299.914,1
2.167044,1.3197815,1.2629675,1.3278812,-0.005484201,0.034588315,12605.568,1
2.2703803,1.2882998,1.4114461,1.3565587,-0.015217897,0.028809063,14410.008,1
2.224418,1.0171831,1.2229806,1.1260153,-0.00058018044,0.051084492,9169.32,1
2.2215064,1.223144,1.1850878,1.3139148,0.009328378,0.039197076,11946.49,1
2.2819326,1.1471946,1.2036881,1.3054353,-0.007861491,0.03667521,12909.8545,1
2.3025022,1.1416847,1.2012956,1.3111119,-0.0019523781,0.037744768,13034.238,1
2.1942718,1.313117,1.2521889,1.2903146,0.0020630322,0.037011713,9402.467,1
2.291817,1.3081982,1.3224136,1.2733041,-0.007129643,0.030113716,8685.291,1
2.0637827,1.26244,1.2006848,1.284287,-0.009868728,0.052312434,13507.998,1
2.276652,1.1921268,1.2414039,1.2962496,-0.016607262,0.029082013,13357.117,1
2.173935,1.2539101,1.225209,1.1913974,0.009260789,0.043586116,9422.486,1
2.2794604,1.1144512,1.2380457,1.2720344,-0.0016575232,0.03821547,13211.295,1
2.54041,1.2660815,1.3760825,1.4536204,-0.0054218527,0.06368227,17226.98,1
2.3850293,1.1246777,1.1662028,1.1913421,-0.02450573,0.053126305,15352.109,1
2.1683514,1.304132,1.2210817,1.3012801,-0.015215617,0.023302164,13024.11,1
2.287739,1.23378,1.2151473,1.3321868,0.00035405718,0.030516213,13437.05,1
2.2593036,1.3839171,1.4192233,1.3286761,-0.014978688,0.06219484,15447.104,1
2.1635742,1.1600107,1.1462345,1.2492146,0.014297841,0.031204937,11157.105,1
2.2189243,1.1717415,1.2004746,1.2996372,-0.00234651,0.03282992,13853.853,1
2.149124,1.2457545,1.2148004,1.2829205,-0.0015353002,0.041624323,15578.27,1
2.2821438,1.1783211,1.3087265,1.2007946,0.018141748,0.024159651,16540.926,1
2.1403072,1.1751342,1.1617551,1.2383721,0.010944633,0.03674365,13047.029,1
2.3649418,1.0087489,1.2549777,1.2169559,-0.0005237814,0.025672069,15691.565,1
2.2240858,1.1092242,1.2686961,1.1606802,-0.007006692,0.03678547,10865.984,1
2.1344504,1.0728211,1.1764421,1.2638056,0.01646484,0.03330427,12494.225,1
2.2253563,1.2523403,1.27438,1.3442776,-0.00761004,0.04464873,15784.388,1
2.194021,1.1256057,1.3720999,1.2149435,-0.01054286,0.02633185,17028.527,1
2.3464901,1.0332596,1.1978114,1.1328107,-0.016038261,0.059344016,9667.424,1
2.335452,1.2194816,1.2784797,1.3828477,0.0013716603,0.058173314,14004.701,1
2.255224,1.245068,1.3194424,1.172322,-0.020206917,0.04674543,9001.821,1
2.2250476,1.1752889,1.2097199,1.2639409,-0.0110368505,0.048551563,13988.92,1
2.3719497,1.1481853,1.3596504,1.1875981,-0.0034354273,0.025058895,19415.02,1
2.3830705,1.1711992,1.2353594,1.2835923,-0.018461011,0.03612162,15619.181,1
2.3398662,1.0005598,1.1539357,1.165355,0.0070247473,0.031292386,10815.223,1
2.2585406,1.1544503,1.2189741,1.2669971,0.0038011344,0.02212541,14327.639,1
2.258004,1.1006079,1.2785553,1.2984145,-0.0052615423,0.05434464,15297.271,1
2.3473282,1.1590321,1.2496803,1.2515249,-0.005790366,0.02415738,14394.896,1
2.347138,1.1608776,1.2794149,1.3407104,-0.012670089,0.010088325,18837.547,1
2.257151,1.0193713,1.1440442,1.1485152,0.015242698,0.051773272,9947.49,1
2.3825622,1.2968237,1.360528,1.3861294,-0.034346,0.046352796,20725.037,1
2.3063612,1.1576159,1.2397408,1.2597271,-0.0061984397,0.034064002,12763.795,1
2.2148087,1.2403696,1.352143,1.2651376,0.012647599,0.019813117,18835.867,1
2.2223413,1.2219859,1.3552673,1.2421751,-0.02361551,0.060304224,12727.714,1
2.2562876,1.1331618,1.3416395,1.2142569,0.024506431,0.021515641,15737.861,1
2.105437,1.1381763,1.1863511,1.2454827,0.011552347,0.033217624,11484.343,1
2.204852,1.185137,1.4107454,1.2585771,0.0040406026,0.026787937,19686.77,1
2.4060302,1.0739629,1.3445451,1.2518798,-0.040692788,0.040535245,13683.727,1
